Feature,Model,Accuracy,Precision,Recall,F1
hog,LinearSVM,0.9506666666666667,0.9504489836241384,0.9506666666666667,0.9503777794522245
hog,RandomForest,0.9733333333333334,0.9733151006290481,0.9733333333333334,0.9732993468469477
hog,kNN,0.9573333333333334,0.9577005603847095,0.9573333333333334,0.9571925004822992
sift,LinearSVM,0.9126666666666666,0.9132315607940479,0.9126666666666666,0.9125696198066959
sift,RandomForest,0.8926666666666667,0.8928977234240392,0.8926666666666667,0.8919197270447329
sift,kNN,0.846,0.8514298908974464,0.846,0.8438130723505651
